Pays;Incidence
Afghanistan;204.0
Albanie;14.69
Algérie;53.4
Angola;372.17
Argentine;43.77
Arménie;18.49
Australie;7.11
Autriche;4.93
Azerbaïdjan;63.85
Bahamas;18.19
Bahreïn;11.82
Bangladesh;221.25
Biélorussie;16.56
Belgique;2.73
Belize;33.57
Bénin;40.1
Bhoutan;189.51
Bolivie;112.78
Bosnie-Herzégovine;20.54
Botswana;142.79
Brésil;49.06
Brunei Darussalam;64.83
Bulgarie;12.28
Burkina Faso;55.2
Burundi;85.42
Cap-Vert;47.63
Cambodge;272.13
Cameroun;130.48
Canada;6.29
République Centrafricaine;412.7
Tchad;118.23
Chili;19.23
Chine;49.04
Hong Kong;66.08
Macao;58.31
Colombie;49.16
Comores;21.92
Congo;300.02
Costa Rica;9.36
Côte D'Ivoire;100.21
Croatie;6.71
Cuba;11.84
Chypre;5.52
République Tchèque;4.94
République Démocratique Du Congo;377.03
Denmark;3.18
Djibouti;496.27
République Dominicaine;50.75
Équateur;66.17
Égypte;10.3
République Du Salvador;115.17
Guinée Équatoriale;200.79
Érythrée;115.96
Estonie;8.08
Swaziland;321.85
Éthiopie;140.85
Fidji;103.36
Finlande;3.74
France;7.81
Polynésie Française;23.78
Gabon;370.23
Gambie;137.68
Géorgie;44.65
Allemagne;5.44
Ghana;124.9
Grèce;3.58
Groenland;139.68
Guam;54.83
Guatemala;28.25
Guinée;176.21
Guinée-Bissau;177.16
Guyana;66.18
Haïti;178.38
Honduras;37.87
Hongrie;5.58
Inde;186.78
Indonésie;380.97
République Islamique D'Iran;10.48
Irak;21.28
Irlande;6.09
Israël;2.45
Italie;5.06
Jamaïque;2.25
Japon;9.7
Jordanie;3.46
Kazakhstan;44.68
Kenya;207.33
Kiribati;966.41
Koweït;10.54
Kirghizistan;128.03
République Démocratique Populaire Lao;127.42
Lettonie;20.83
Liban;12.75
Lesotho;556.17
Liberia;213.8
Libye;63.68
Lituanie;31.13
Luxembourg;7.43
Madagascar;225.25
Malawi;110.83
Malaisie;95.62
Maldives;39.79
Mali;49.02
Îles Marshall;399.49
Mauritanie;65.77
Maurice;12.59
Mexique;28.27
États Fédérés De Micronésie;265.11
Mongolie;460.36
Monténégro;15.66
Maroc;97.16
Mozambique;360.94
Birmanie;482.57
Namibie;429.02
Népal;225.96
Pays-Bas;4.72
Nouvelle-Calédonie;17.77
Nouvelle-Zélande;7.86
Nicaragua;43.38
Niger;85.08
Nigéria;219.19
Macédoine;11.52
Îles Mariannes Du Nord;33.88
Norvège;3.23
Territoires Palestiniens Occupés;0.29
Oman;11.36
Pakistan;266.25
Panama;62.01
Papouasie-Nouvelle-Guinée;661.84
Paraguay;80.82
Pérou;140.28
Philippines;624.98
Pologne;11.42
Portugal;14.39
Porto Rico;0.56
Qatar;36.08
République De Corée;34.8
République De Moldavie;65.9
Roumanie;57.85
Fédération De Russie;33.84
Rwanda;61.73
Sao Tomé-Et-Principe;89.16
Arabie Saoudite;8.54
Sénégal;129.72
Serbie;8.76
Sierra Leone;370.28
Singapour;42.86
Slovaquie;3.27
Slovénie;2.55
Îles Salomon;122.07
Somalie;152.56
Afrique Du Sud;389.02
Soudan Du Sud;318.17
Espagne;7.93
Sri Lanka;60.6
Soudan;47.57
Suriname;33.1
Suède;3.3
Suisse;5.38
République Arabe Syrienne;22.7
Tadjikistan;74.59
Thaïlande;145.11
Timor-Leste;492.63
Togo;47.29
Trinité-Et-Tobago;26.53
Tunisie;38.28
Turquie;12.58
Turkménistan;40.03
Ouganda;197.94
Ukraine;87.16
Émirats Arabes Unis;0.63
Royaume-Uni;9.69
République-Unie De Tanzanie;172.11
États-Unis;3.18
Uruguay;47.25
Ouzbékistan;49.5
Vanuatu;45.76
Venezuela;45.77
Viet Nam;182.2
Yémen;39.43
Zambie;272.11
Zimbabwe;204.4
