country;Incidence_per_100k
Afghanistan;180.92
Albanie;15.29
Algérie;47.66
Samoa Américaines;4.21
Andorre;6.18
Angola;340.14
Anguilla;20.82
Antigua-Et-Barbuda;1.07
Argentine;35.14
Arménie;24.46
Aruba;3.71
Australie;6.05
Autriche;5.15
Azerbaïdjan;71.72
Bahamas;7.76
Bahreïn;12.1
Bangladesh;221.03
Barbad;0.71
Biélorussie;27.43
Belgique;7.51
Belize;26.76
Bénin;50.32
Bermudes;3.09
Bhoutan;165.31
État Plurinational De Bolivie;106.17
Bosnie-Herzégovine;23.55
Botswana;241.91
Brésil;48.78
Îles Vierges Britanniques;0.0
Brunei Darussalam;65.37
Bulgarie;16.19
Burkina Faso;42.56
Burundi;94.96
Cap-Vert;47.86
Cambodge;332.88
Cameroun;151.55
Canada;5.85
Îles Caïmans;4.11
République Centrafricaine;543.43
Tchad;139.76
Chili;18.31
Chine;52.09
Hong Kong;49.71
Macao;50.43
Colombie;45.87
Comores;35.28
Congo;371.99
Îles Cook;35.16
Costa Rica;9.99
Côte D'Ivoire;118.72
Croatie;3.59
Cuba;7.89
Curaçao;3.24
Chypre;5.5
République Tchèque;4.81
République Populaire Démocratique De Corée;511.01
République Démocratique Du Congo;315.72
Denmark;3.7
Djibouti;216.84
Dominique;16.54
République Dominicaine;41.48
Équateur;55.62
Égypte;9.6
République Du Salvador;84.0
Guinée Équatoriale;276.04
Érythrée;63.39
Estonie;8.05
Swaziland;349.45
Éthiopie;146.09
Fidji;66.01
Finlande;3.39
France;8.28
Polynésie Française;14.23
Gabon;523.18
Gambie;140.85
Géorgie;55.15
Allemagne;4.85
Ghana;130.22
Grèce;5.27
Groenland;100.14
Grenade;5.12
Guam;31.23
Guatemala;32.55
Guinée;173.55
Guinée-Bissau;362.23
Guyana;64.14
Haïti;146.08
Honduras;31.0
Hongrie;5.88
Islande;3.1
Inde;194.71
Indonésie;387.64
République Islamique D'Iran;10.82
Irak;20.85
Irlande;4.62
Israël;2.81
Italie;4.37
Jamaïque;3.17
Japon;9.65
Jordanie;3.41
Kazakhstan;68.86
Kenya;224.07
Kiribati;535.73
Koweït;9.71
Kirghizistan;111.68
République Démocratique Populaire Lao;130.46
Lettonie;15.94
Liban;10.05
Lesotho;648.94
Liberia;309.48
Libye;58.86
Lituanie;28.38
Luxembourg;7.22
Madagascar;234.0
Malawi;118.46
Malaisie;122.42
Maldives;39.92
Mali;46.28
Malte;14.64
Îles Marshall;695.39
Mauritanie;73.67
Maurice;12.56
Mexique;28.52
États Fédérés De Micronésie;230.84
Monaco;0.0
Mongolie;495.35
Monténégro;14.21
Montserrat;0.0
Maroc;92.81
Mozambique;359.74
Birmanie;557.88
Namibie;472.48
Nauru;176.84
Népal;229.0
Pays-Bas;4.53
Nouvelle-Calédonie;12.76
Nouvelle-Zélande;6.57
Nicaragua;42.5
Niger;72.63
Nigéria;218.97
Niue;0.0
Macédoine;10.37
Îles Mariannes Du Nord;55.38
Norvège;2.9
Territoires Palestiniens Occupés;0.35
Oman;11.09
Pakistan;277.17
Palaos;95.9
Panama;58.31
Papouasie-Nouvelle-Guinée;433.12
Paraguay;62.83
Pérou;174.32
Philippines;643.22
Pologne;10.06
Portugal;15.34
Porto Rico;0.71
Qatar;33.57
République De Corée;38.65
République De Moldavie;74.99
Roumanie;52.31
Fédération De Russie;37.82
Rwanda;55.18
Saint-Christophe-et-Niévès;2.14
Sainte-Lucie;1.12
Saint-Vincent-Et-Les Grenadines;13.82
Samoa;5.08
Saint-Marin;0.0
Sao Tomé-Et-Principe;112.62
Arabie Saoudite;8.42
Sénégal;110.63
Serbie;13.73
Seychelles;20.32
Sierra Leone;283.67
Singapour;41.46
Saint-Martin (Partie Néerlandaise);7.02
Slovaquie;4.35
Slovénie;4.63
Îles Salomon;55.0
Somalie;245.12
Afrique Du Sud;427.13
Soudan Du Sud;226.41
Espagne;5.84
Sri Lanka;60.94
Soudan;49.96
Suriname;28.62
Suède;3.7
Suisse;5.3
République Arabe Syrienne;16.95
Tadjikistan;78.92
Thaïlande;157.6
Timor-Leste;498.45
Togo;30.09
Tokelau;0.0
Tonga;8.6
Trinité-Et-Tobago;21.29
Tunisie;37.7
Turquie;13.75
Turkménistan;48.88
Îles Turks-Et-Caïcos;17.32
Tuvalu;295.44
Ouganda;197.3
Ukraine;111.31
Émirats Arabes Unis;0.8
Royaume-Uni;7.57
République-Unie De Tanzanie;183.13
États-Unis;3.2
Uruguay;41.32
Ouzbékistan;56.1
Vanuatu;40.57
Venezuela;45.94
Viet Nam;181.36
Wallis Et Futuna;0.0
Yémen;48.23
Zambie;284.69
Zimbabwe;214.19
